,codes,lang
201,0x851,Tibetan - Bhutan
202,0x451,Tibetan - People's Republic of China
203,0x873,Tigrigna - Eritrea
204, 0x473,Tigrigna - Ethiopia
205,0x431,Tsonga
206,0x432,Tswana
207, 0x041f,Turkish
208, 0x442,Turkmen
209,0x480,Uighur - China
210, 0x422,Ukrainian
211,0x420,Urdu
212,0x820,Urdu - India
213,0x843,Uzbek (Cyrillic)
214, 0x443,Uzbek (Latin)
215, 0x433,Venda
216,0x042a,Vietnamese
217, 0x452,Welsh
218, 0x434,Xhosa
219,0x478,Yi
220, 0x043d,Yiddish
221,0x046a,Yoruba
222,0x435,Zulu
223,0x04ff,HID (Human Interface Device)
